"","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link.type","link.url","link.suggested_link_text","multimedia.type","multimedia.src","multimedia.width","multimedia.height","Body"
"4379","The Last Movie Star","R",0,"BEN KENIGSBERG","Review: Burt Reynolds Confronts His Past in ‘The Last Movie Star’","The film effectively allows the ever-assured actor to score a touchdown on an empty field.","2018-03-29","2018-03-30","2018-04-06 16:44:02",article,http://www.nytimes.com/2018/03/29/movies/the-last-movie-star-review-burt-reynolds.html,Read the New York Times Review of The Last Movie Star,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/30/arts/30lastmovie/30lastmovie-mediumThreeByTwo210.jpg,210,140,"“The Last Movie Star” centers on Vic Edwards (Burt Reynolds), an alcoholic, washed-up actor who travels to a Nashville film festival to receive an honor without realizing that the event is a small-time, back-of-the-bar affair. (The organizer is played by Clark Duke, from “Hot Tub Time Machine,” while Ellar Coltrane of “Boyhood” plays a colleague who peppers Vic with trivia.)Emphasizing how pathetic and lonely Vic has become and how cluelessly the festival treats him — putting him up in seedy lodging, shoving a video camera in his face — the first part of the film is almost as mortifying to watch as it probably is for Vic to experience. We’re meant to regard the festivalgoers as harmless, overly avid fans, but the potshots are too broad and cheap.VideoA preview of the film.Published OnMarch 20, 2018“The Last Movie Star” takes a turn from cringeworthy fish-out-of-water comedy into anodyne sentimentality when Vic and his incongruously dressed driver, Lil (Ariel Winter) — a goth aspiring artist whose sketches were contributed by the “Hellraiser” director Clive Barker — escape to Vic’s hometown Knoxville, where he makes peace with his past.The director Adam Rifkin wrote this showcase for Mr. Reynolds, who, like Vic, was a college football player. “The Last Movie Star” effectively allows the ever-assured actor to score a touchdown on an empty field. To make it look as if Vic is conversing with his younger self, Mr. Rifkin edits in footage of Mr. Reynolds from “Smokey and the Bandit” and “Deliverance.” It’s a decent idea, but the matching is poor and the clips appear arbitrary."
"4380","The China Hustle","R",0,"BEN KENIGSBERG","Review: ‘The China Hustle’ Warns of Dicey Investments","A documentary may be the wrong delivery mechanism for the byzantine exposé that cries out for detailed news reporting.","2018-03-29","2018-03-23","2018-04-13 16:44:02",article,http://www.nytimes.com/2018/03/29/movies/the-china-hustle-review.html,Read the New York Times Review of The China Hustle,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/30/arts/30chinahustle1/chinahustle1-mediumThreeByTwo210.jpg,210,140,"From “Roger & Me” to “An Inconvenient Truth,” documentaries have shown that they can be great tools for spreading awareness, even on complicated topics that don’t lend themselves to visual storytelling. But in the case of “The China Hustle,” a documentary may simply be the wrong delivery mechanism for a byzantine exposé that cries out for detailed news reporting.With a rapidly paced barrage of talking heads and TV clips, the director Jed Rothstein makes his case: After the financial crisis, investors turned to Chinese companies listed on stock exchanges in the United States. But skeptics say those assets show signs of being overvalued.In one of the best sequences, Dan David, a founder of GeoInvesting, which investigates U.S.-listed Chinese companies, explains how — using calculations and surveillance that the film describes as illegal in China — he determined that a fertilizer company could not be producing as much as it claimed. If or when these stocks crash en masse, the movie argues, the result, like the burst of the housing bubble, will hit Americans’ pension funds.VideoA preview of the film.Published OnMarch 20, 2018Mr. David has turned to short-selling these stocks, that is, betting that they will fail. (It’s perhaps noteworthy that one of the executive producers, Mark Cuban, has not been shy about engaging in that practice in the past.)“The China Hustle” also features interviews with Alexandra Stevenson of The New York Times and the retired Gen. Wesley K. Clark, the former presidential candidate who served as chairman of the investment bank Rodman & Renshaw. He is criticized by others in the movie for his tenure there. “I don’t think I want to be in the film,” he says before walking off camera, but the sequence is too heavily edited to seem fair."
"4399","Finding Your Feet","PG-13",0,"JEANNETTE CATSOULIS","Review: Two-Stepping to Happiness in ‘Finding Your Feet’","Led by a charming pairing of Imelda Staunton and Celia Imrie, this British retiree rom-com delivers exactly what it promises.","2018-03-29",NA,"2018-04-29 16:44:02",article,http://www.nytimes.com/2018/03/29/movies/finding-your-feet-review.html,Read the New York Times Review of Finding Your Feet,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/28/arts/findingyourfeet1/merlin_135740556_112895ce-4379-43da-af46-acac1f9ecb81-mediumThreeByTwo210.jpg,210,140,"Comfort food for the young at heart, Richard Loncraine’s “Finding Your Feet” is as cozy as old slippers and as familiar as the British character actors who populate its London locations.Led by a charming pairing of Imelda Staunton and Celia Imrie as the long-estranged sisters Sandra and Bif, this creaky romantic comedy (with a side order of death and dementia) is by turns warm, silly and thoroughly mortifying. When Sandra, a suburban toff, surprises her husband mid-clinch with his mistress, she grabs her fancy luggage and lands at the door of Bif’s cluttered council flat. Within days, Sandra is joining Bif’s dance class, smoking her weed and making eyes at a two-stepping retiree named Charlie (the wonderful Timothy Spall).VideoA preview of the film.Published OnMarch 20, 2018Assembled by the numbers and filmed (by John Pardue) as if it matters, “Finding Your Feet” boasts an embarrassingly on-the-nose soundtrack and plot twists you can see coming without your bifocals. Meg Leonard and Nick Moorcroft’s screenplay virtually defines “formulaic” — and the less said about the dance routines, the better — but with performers this seasoned, predictability will be for some viewers less a liability than a bonus.Marrying age-appropriate humor — like a date-night striptease that does the opposite of resuscitate — with moments of gentle pathos, the movie delivers exactly what its poster promises. Watching it demands little effort. Evict your inner cynic and enjoying it should demand even less."
"4400","Ready Player One","PG-13",0,"A.O. SCOTT","Review: Spielberg’s ‘Ready Player One’ Plays the Nostalgia Game","The movie, based on Ernest Cline’s best-selling novel, is set in a dystopian future where a virtual video-game reality reigns, and pop-culture callbacks are legion.","2018-03-28","2018-03-29","2018-04-28 16:44:01",article,http://www.nytimes.com/2018/03/28/movies/ready-player-one-review-steven-spielberg.html,Read the New York Times Review of Ready Player One,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/29/arts/29readyplayerone1/merlin_135740451_5ef70299-0297-45b8-89f0-86003a8be01e-mediumThreeByTwo210.jpg,210,140,"It isn’t going too far out on a limb to predict that “Ready Player One” will turn out to be one of Steven Spielberg’s more controversial projects. Even before its release, this adaptation of Ernest Cline’s 2011 best seller — what one writer called a  “nerdgasm” of a novel — was subjected to an unusual degree of internet pre-hate. That was only to be expected. Mr. Spielberg has tackled contentious topics before — terrorism, slavery, the Pentagon Papers, sharks — but nothing as likely to stir up a hornet’s nest of defensiveness, disdain and indignant “actually”-ing as the subject of this movie, which is video games.And not only video games. “Ready Player One,” written by Mr. Cline and Zak Penn, dives into the magma of fan zeal, male self-pity and techno-mythology in which those once-innocent pastimes are now embedded. Mr. Spielberg, a digital enthusiast and an old-school cineaste, goes further than most filmmakers in exploring the aesthetic possibilities of a form that is frequently dismissed and misunderstood.Aided by his usual cinematographer, Janusz Kaminski, and by the production designer Adam Stockhausen, he turns a vast virtual landscape of battling avatars into a bustling pop-cultural theme park, an interactive museum of late-20th- and early-21st-century entertainment, a maze of niche tastes, cultish preoccupations and blockbuster callbacks. Mr. Spielberg navigates this warehouse with his usual dexterity, loading every frame with information without losing the clarity and momentum of the story.Nonetheless, the toy guns of social media and pop-up kulturkritik are locked and loaded. Mr. Spielberg will be accused of taking games and their players too seriously and not seriously enough, of pandering and mocking, of just not getting it and not being able to see beyond it — “it” being the voracious protoplasm that has, over the past three or four decades, swallowed up most of our cultural discourse. Whatever you call it — the revenge of the nerds, the franchising of the universe, the collapse of civilization — it’s a force that is at once emancipatory and authoritarian, innocent and pathological, delightful and corrosive.VideoA preview of the film.Published OnMarch 20, 2018Mr. Spielberg and some of his friends helped to create this monster, which grants him a measure of credibility and also opens him up to a degree of suspicion. He is the only person who could have made this movie and the last person who should have been allowed near the material.That material has issues of its own. Mr. Cline’s book — readable and amusing without being exactly good — is a hodgepodge of cleverness and cliché. Less than a decade after publication, it already feels a bit dated, partly because its dystopian vision seems unduly optimistic and partly because its vision of male geek rebellion has turned stale and sour.In the film, set in 2045, Wade Watts (a young man played by the agreeably bland, blandly agreeable Tye Sheridan) lives in “the stacks,” a vertical pile of trailers where the poorer residents of Columbus, Ohio (Oklahoma City in the book), cling to hope, dignity and their VR gloves. Humanity has been ravaged by the usual political and ecological disasters (among them “bandwidth riots” referred to in Wade’s introductory voice-over), and most people seek refuge in a digital paradise called the Oasis.That world — less a game than a Jorge Luis Borges cosmos populated by wizards, robots and racecar drivers — is the creation of James Halliday (Mark Rylance). After Halliday’s death, his avatar revealed the existence of a series of Easter eggs, or secret digital treasures, the discovery of which would win a lucky player control of the Oasis. Wade is a “gunter” — short for “egg hunter” — determined to pursue this quest even after most of the other gamers have tired of it. Among his rivals are a few fellow believers and Nolan Sorrento (Ben Mendelsohn), the head of a company called IOI that wants to bring Halliday’s paradise under corporate control.In the real world, IOI encourages Oasis fans to run up debts that it collects by forcing them into indentured servitude. Sorrento’s villainy sets up a battle on two fronts — clashes in the Oasis mirroring chases through the streets of Columbus — that inspires Mr. Spielberg to feats of crosscutting virtuosity. The action is so swift and engaging that some possibly literal-minded questions may be brushed aside. I, for one, didn’t quite understand why, given the global reach of the Oasis, all the relevant players were so conveniently clustered in Ohio. (If anyone wants to explain, please find me on Twitter so I can mute you.)‘Ready Player One’ Is a Vintage Pop BonanzaHere’s a rundown of some of the bigger references you need to know before watching Steven Spielberg’s film.March 29, 2018But, of course, Columbus and the Oasis do not represent actual or virtual realities, but rather two different modalities of fantasy. Wade’s avatar, Parzival, collects a posse of fighters: Sho, Daito, Aech and Art3mis, who is also his love interest. When the people attached to these identities meet up in Columbus, they are not exactly as they are in the game. Aech, large and male in the Oasis, is played by Lena Waithe. But the fluidity of online identity remains an underexploited possibility. In and out of the Oasis, Art3mis (also known as Samantha, and portrayed by Olivia Cooke) is a male fantasy of female badassery. Sho (Philip Zhao) and Daito (Win Morisaki) are relegated to sidekick duty. The multiplayer, self-inventing ethos of gaming might have offered a chance for a less conventional division of heroic labor, but the writers and filmmakers lacked the imagination to take advantage of it.The most fun part of “Ready Player One” is its exuberant and generous handing out of pop-cultural goodies. Tribute is paid to Mr. Spielberg’s departed colleagues John Hughes and Stanley Kubrick. The visual and musical allusions are eclectic enough that nobody is likely to feel left out, and everybody is likely to feel a little lost from time to time.Nostalgia? Sure, but what really animates the movie is a sense of history. The Easter egg hunt takes Parzival and his crew back into Halliday’s biography — his ill-starred partnership with Ogden Morrow (Simon Pegg), his thwarted attempts at romance — and also through the evolution of video games and related pursuits. The history is instructive and also sentimental in familiar ways, positing a struggle for control between idealistic, artistic entrepreneurs (and their legions of fans) and soulless corporate greedheads.Halliday is a sweet, shaggy nerd with a guileless Northern California drawl and a deeply awkward manner, especially around women. Sorrento is an autocratic bean counter, a would-be master of the universe who doesn’t even like video games. These characters are clichés, but they are also allegorical figures.In the movie, they represent opposing principles, but in our world, they are pretty much the same guy. A lot of the starry-eyed do-it-yourselfers tinkering in their garages and giving life to their boyish dreams back in the ’70s and ’80s turned out to be harboring superman fantasies of global domination all along. They shared their wondrous creations and played the rest of us for suckers, collecting our admiration, our attention and our data as profit and feudal tribute.Mr. Spielberg incarnates this duality as perfectly as any man alive. He is the peer of Steve Jobs and Bill Gates, and a Gandalf for the elves and hobbits who made Google, Facebook and the other components of our present-day Oasis. He has been man-child and mogul, wide-eyed artist and cold-eyed businessman, praised for making so many wonderful things and blamed for ruining everything. His career has been a splendid enactment of the cultural contradictions of capitalism, and at the same time a series of deeply personal meditations on love, loss and imagination. All of that is also true of Halliday’s Oasis. “Ready Player One” is far from a masterpiece, but as the fanboys say, it’s canon."
"4419","The Great Silence","Not Rated",0,"A.O. SCOTT","Review: ‘The Great Silence,’ a 1968 Spaghetti Western Unchained","Klaus Kinski and Jean-Louis Trintignant face off in the snows of Utah in a bloody genre exercise that is only now receiving a proper U.S. release.","2018-03-28","1969-00-00","2018-04-11 16:44:01",article,http://www.nytimes.com/2018/03/28/movies/the-great-silence-review-sergio-corbucci.html,Read the New York Times Review of The Great Silence,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/30/movies/30greatsilence1/30greatsilence1-mediumThreeByTwo210.jpg,210,140,"I’m not generally one for nostalgia, but I do regret the loss of a certain kind of craziness that used to flourish in movies — the kind that is on rich and ripe display in “The Great Silence,” a 1968 Italian western by Sergio Corbucci that is only now receiving a proper theatrical release in this country.There is something about the film’s brazen mixing of incompatible elements that defies categorization, imitation or even sober critical assessment. It’s anarchic and rigorous, sophisticated and goofy, heartfelt and cynical. The score, by Ennio Morricone, is as mellow as wine. The action is raw, nasty and blood-soaked. The story is preposterous, the politics sincere.In 2018, it’s possible — and perhaps inevitable — to view “The Great Silence” as a footnote to the oeuvre of Quentin Tarantino, whose admiration for Corbucci is well documented. Corbucci’s 1966 western “Django” was an inspiration for Mr. Tarantino’s “Django Unchained,” and “The Hateful Eight” shares a snowbound aesthetic and a gleeful commitment to cruelty with “The Great Silence.” The scholarly minded viewer can trace other connections and divergences as well — to classic American westerns and to the contemporaneous and better-known work of the spaghetti maestro Sergio Leone.VideoA preview of the film.Published OnMarch 20, 2018But this plate of pasta — bitter and pungent, nourishing and perhaps a bit nauseating — should be savored on its own. It takes place at the end of the 19th century in “Snow Hill, Utah,” a place name that sounds infinitely more exotic in Italian. There, farmers have been driven off their land and forced into banditry, leaving them at the mercy of bounty killers, the most fearsome and sadistic of whom is played by Klaus Kinski.His character — referred to as Tigrero aloud and Loco in the subtitles — is a whispering sociopath and a symbol of the Darwinian brutality that governs Snow Hill. The actual governor wants to bring the area under the rule of law, and dispatches a bumbling, decent sheriff (Frank Wolff) to bring Tigrero and the rest of the bounty killers into line. The lawman’s earnest efforts are a sideshow to the main drama, though, which pits Tigrero and his minions against a solitary avenger known as Silenzio.Played by the great Jean-Louis Trintignant, Silenzio is a tragic, poetic variation on Clint Eastwood’s taciturn Man With No Name. Silenzio is not a man of few words, but a survivor of horrific violence. When he was a child, the bounty hunters who murdered his parents severed his vocal cords to keep him from talking. He has grown up into Tigrero’s double and opposite, meting out justice for money and following a strict code of ethics. He will never draw his gun first, but he will always shoot faster than his adversary.Silenzio’s services are solicited by Pauline (Vonetta McGee), the widow of one of Tigrero’s victims. The fact that she and her husband are black is at once a casual detail and a sign of the film’s anti-authoritarian, democratic ideology. The couple seems to have been welcomed by the other good people of Snow Hill, but their race is a big issue for the bad guys.The plot takes a twist or two, but serves mainly as a thread linking shootouts and glowering confrontations, with a brief respite for love. The mood is sometimes jaunty, but “The Great Silence” is no joke, and the fatalism of its ending serves as an implicit critique of the sentimental optimism of many Hollywood westerns. Power speaks louder than silence."
"4420","Midnight Sun","PG-13",0,"TEO BUGBEE","Review: In ‘Midnight Sun,’ the Dawn of Romance Can Be Fatal","Bella Thorne stars as a teenager with a rare disease who must avoid ultraviolet light — but she isn’t avoiding love. One night, she meets a boy.","2018-03-23","2018-03-23","2018-04-23 16:44:02",article,http://www.nytimes.com/2018/03/23/movies/midnight-sun-review.html,Read the New York Times Review of Midnight Sun,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/24/arts/24midnightsun/23midnightsun-mediumThreeByTwo210.jpg,210,140,"In “Midnight Sun,” a life-threatening illness inspires a gilded fairy tale. This tour of high school heartbreak follows Katie (Bella Thorne), a wide-eyed teenager who has xeroderma pigmentosum, a condition that renders her dangerously sensitive to ultraviolet light. Although xeroderma pigmentosum is actually a disease, “Midnight Sun” forgoes realism, exaggerating the risks of Katie’s illness to portray even the slightest exposure to sunlight as a cause of fatal neurodegeneration.VideoA preview of the film.Published OnMarch 14, 2018Because of her condition, Katie is isolated from her peers, spending most of her time with her adoring father (Rob Riggle), who tries to keep his daughter’s confinement cozy. Though neither Katie nor “Midnight Sun” seems disturbed by the paternalism of her circumstances, most fairy tales revolve around a prince, not a parent, and, accordingly, both Katie and the film idealize romance.So, from the safety of her ultraviolet-light-resistant bedroom window, Katie daydreams about puppy love as if she were a princess in a tower. Every day, she waits for the same boy, Charlie (Patrick Schwarzenegger, son of Arnold), to roll by on his skateboard. When this saint of the Seattle suburbs stumbles upon Katie busking near the local train station one evening, he falls in love at first sight. They begin to see each other only at night, and Katie conceals her illness, despite her father’s warnings. Like the sun, the potential for disaster inevitably rises.Under the limp direction of Scott Speer, “Midnight Sun” suffocates its sentimental script, portraying passion without wonder, sacrifice without ecstasy. Charlie professes his devotion with a plastered smile and dead eyes. Katie writes love songs that are forgotten the moment she stops singing. Lacking both the romantic chemistry and the directorial panache that might justify its life-or-death stakes, “Midnight Sun” is a medical melodrama in need of resuscitation."
"4439","Ismael's Ghosts","R",1,"GLENN KENNY","Review: Wife Returns in ‘Ismael’s Ghosts.’ Confusion Ensues.","In Arnaud Desplechin’s remarkable sprawl of a film, a wife comes back after a 20-year disappearance, adding to an already convoluted situation.","2018-03-22","2018-03-23","2018-04-20 16:44:02",article,http://www.nytimes.com/2018/03/22/movies/review-ismaels-ghosts-arnaud-desplechin.html,Read the New York Times Review of Ismael's Ghosts,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/23/arts/23ismaelsghost/merlin_135652056_545215ce-7d65-4267-a0cb-29bddcee101a-mediumThreeByTwo210.jpg,210,140,"The cinematic cosmos of the French director Arnaud Desplechin teems with literary allusions. He frequently makes films about a character named Paul Dedalus — a nod to the young hero of Joyce’s “Ulysses.” And Mr. Desplechin’s characters sometimes soliloquize with words adapted from Philip Roth’s novels. This latest film, “Ismael’s Ghosts,” adds Henri Bloom, an aging filmmaker, to Mr. Desplechin’s oeuvre, and his name, of course, evokes the older protagonist in Joyce’s novel.For all that, Mr. Desplechin’s films cannot, or ought not, be considered literary. Cinema is the only medium that can accommodate the narrative sprawl that has distinguished this director’s work since even before “My Sex Life … or How I Got Into an Argument” (1996), a film in which he originated several characters who incarnate in his later works.“Ismael’s Ghosts” opens with a film-within-a-film, an espionage thriller about one Ivan Dedalus, a globe-trotting diplomat turned spy. (He’s probably related to Paul, but you don’t have to understand this convoluted situation to enjoy the movie.) Ivan springs from the mind of Ismael Vuillard (Mathieu Amalric), whose reverie is interrupted by a 3 a.m. phone call from his former father-in-law, Henri Bloom (Laszlo Szabo). Both men are still mourning the loss of Carlotta (hello, “Vertigo” people), Bloom’s daughter and Ismael’s wife, who disappeared 20 years ago. Ismael is now involved with Sylvia (Charlotte Gainsbourg), an astrophysicist, who, shortly after her introduction becomes the movie’s temporary narrator, and takes the story back a couple of years. On return to the present, Ismael and Sylvia hole up in a beach house, and one afternoon while sunbathing, Sylvia is approached by a woman (Marion Cotillard) who introduces herself as Carlotta.VideoA preview of the film.Published OnMarch 13, 2018If you think this messes things up, you are correct, and the complications drive Sylvia away from Ismael. This turmoil comes close to driving Ismael, and Bloom, mad. Further developments bring back Ivan (Louis Garrel) — both his fictional iteration as dreamed up by Ismael and his real-life manifestation as Ismael’s brother, who’s come to see the filmmaker as a family idiot of sorts.There’s a lot of rage in Mr. Desplechin’s characters, especially the male ones, and as felt and articulated in this film by both Ismael and Bloom, rage is both terrifying and absurdly funny. (In this, Mr. Desplechin finds a close affinity with Mr. Roth, particularly the author’s 1995 novel, “Sabbath’s Theater.”) Mr. Amalric, who’s been a major player for Mr. Desplechin since the 1990s, is always adept at balancing on the knife-edge of hysteria and hilarity. Mr. Szabo is more magisterial, but also conveys the way that heroic men can be ridiculous.Ms. Gainsbourg’s Sylvia is a voice of reason, demonstrating that tantalizing sensuality and grounded serenity needn’t be mutually exclusive. But she’s no pushover. As for Carlotta, Ms. Cotillard sometimes plays her with confounding, slow-motion swagger. The actress also has instantaneous access to the character’s affecting vulnerability. Carlotta initially seems like a negative force, but she proves to be an object lesson about life’s curveballs and our tendency to overreact to them. As for Mr. Garrel, his exasperation as the “real” Ivan makes him the film’s most droll presence.As is customary in Mr. Desplechin’s work, there’s a lot of dialogue in “Ismael’s Ghosts,” but this movie’s nerve endings vibrate most avidly and tenderly in scenes where not a word is spoken: Sylvia on her first ride home with Ismael, looking up in serene rapture from a cab window toward the night sky; Ismael, angry and confused, framed between walls at the top of a dark staircase; Carlotta in tears, letting the blast of water from an ornamental shower head blast against her brow. It’s moments like these that make “Ismael’s Ghosts” an unforgettable experience."
"4440","Beauty and the Dogs","",1,"JEANNETTE CATSOULIS","Review: Seeking Justice After a Rape in ‘Beauty and the Dogs’","In this film inspired by a true story, the director Kaouther Ben Hania leans hard on official corruption and a bureaucracy dominated by male power.","2018-03-22",NA,"2018-04-22 16:44:02",article,http://www.nytimes.com/2018/03/22/movies/beauty-and-the-dogs-review.html,Read the New York Times Review of Beauty and the Dogs,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/23/arts/23beautyandthedogspix/23beautyandthedogspix-mediumThreeByTwo210-v2.jpg,210,140,"A crescendo of humiliation, anxiety and abuse, “Beauty and the Dogs” plays like a horror movie where every choice is a Catch-22 and every door a trap.Unfolding over one endless night and nine chapters — each confidently filmed in a single, liquid take — the story (by the film’s Tunisian director, Kaouther Ben Hania) follows Mariam (Mariam Al Ferjani), a young student. Raped by the police after a university party, Mariam, accompanied by a young man she has just met (Ghanem Zrelli), desperately seeks help, first from an indifferent private clinic and then a chaotic public hospital.VideoA preview of the film.Published OnMarch 13, 2018“She looks fine,” a bored admitting clerk remarks, noting Mariam’s lack of visible bruises and staring pointedly at her skimpy dress. Uncaring at best and contemptuous at worst, the hospital workers refuse to examine her without her I.D. card (lost during the rape) and a special certificate — which she’ll have to request from the very police station where her attackers work.Inspired by a true story, Ms. Ben Hania leans hard and heavy on official corruption, oppressive morality codes and a Tunisian bureaucracy dominated by male power. Contrasting the cold sterility of her locations with a fiery emotional urgency, she pushes her increasingly distraught heroine from vulnerability to defiance, from a whimper to a roar.The result is an unapologetically feminist and furiously single-minded movie that might have benefited from more nuanced characterizations. (The police, in particular, can seem almost cartoonishly callous and leering.) Yet the filmmaking is so striking — and Ms. Al Ferjani so movingly, indefatigably resolute — it’s impossible not to persevere right along with her."
"4459","The Workshop","",1,"JENNIFER SZALAI","Review: ‘The Workshop’ Plunges Into a Class Divided","This new film from the French director Laurent Cantet follows a diverse group of students enrolled in a summer writing class taught by a famous novelist.","2018-03-22",NA,"2018-04-13 16:44:02",article,http://www.nytimes.com/2018/03/22/movies/the-workshop-review-laurent-cantet.html,Read the New York Times Review of The Workshop,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/23/arts/23theworkshop/23theworkshop-mediumThreeByTwo210.jpg,210,140,"Feelings run deep and menacing in “The Workshop,” an intimate and timely film from the French director Laurent Cantet, about a group of young adults enrolled in a summer writing class in the South of France. Only this isn’t the lavender-scented idyll of Provence or the gleaming luxury of the Riviera; the setting is La Ciotat, a port town that has gone from its midcentury glory days of building ships to its current slot in the global economy, servicing yachts. The students are a diverse bunch of working-class locals; the teacher, Olivia, is a famous novelist, brought in from elsewhere to help them write a book together that has to take place in the town.The class differences between teacher and students are so pronounced that they threaten to plunge the film into a schoolhouse drama — that well-worn genre in which a charismatic authority figure, inevitably likable yet inevitably tough, gains her students’ grudging respect and eventual trust. (Mr. Cantet also directed “The Class,” a moving yet unsentimental film about a teacher and his young charges in one of Paris’s poorer arrondissements.)But Marina Foïs’s performance as Olivia pulls off a delicate balancing act. Even as Olivia emerges as a complicated character — an accomplished novelist with sympathy for her students as well as a surprisingly perverse imagination — she never quite sheds her remote cosmopolitan sheen.VideoA preview of the film.Published OnMarch 13, 2018Olivia’s good intentions keep running aground with Antoine, the workshop’s gadfly and troll, played with taut intensity by Matthieu Lucci, in a bracing debut. While the other students propose a thriller based on La Ciotat’s proud shipbuilding past, Antoine repeatedly goads them with his casual racism and violent fantasies.We see a lot of Antoine — in class, at home, goofing around with his friends, swimming in the cove — but the smart, canny screenplay by Mr. Cantet and Robin Campillo takes care not to make him more explicable to us than he is to himself. In the workshop, Antoine gives a resolute performance as a disaffected young man; in the rest of his life, he seems to be drifting. More than caustic anger, he emanates uncertainty and confusion.Antoine watches online clips by a far-right propagandist who rages against globalization and “E.U. bureaucrats,” but his interest verges on desultory; the clips are just another thing to look at after he does a few situps or inspects his physique in the mirror. More enthralling for him are video games, which Antoine plays with what looks to be genuine engagement and actual joy.Pierre Milon’s lush cinematography captures the warmth of the Mediterranean light, but it’s the first shot of the film — footage from a video game of a knight-errant, wandering a mountainous landscape in search of what to do next — that sets us up for the contemporary fable that’s in store.At one point, Olivia tries to mine Antoine’s experiences to help her understand a character that she’s having a hard time writing about in her own book. It’s a measure of this film’s stealthy brilliance that it blurs the line between empathy and exploitation. The real story, it turns out, won’t be hers to tell."
"4460","I Kill Giants","Not Rated",1,"JEANNETTE CATSOULIS","Review: Slaying Monsters (and Avoiding Grief) in ‘I Kill Giants’","This magical movie marries adult themes and childlike wonder as a troubled girl embarks on a fantastical quest.","2018-03-22","2018-03-23","2018-03-30 16:44:01",article,http://www.nytimes.com/2018/03/22/movies/i-kill-giants-review.html,Read the New York Times Review of I Kill Giants,mediumThreeByTwo210,https://static01.nyt.com/images/2018/03/23/arts/23killgiants1/merlin_135651834_da35096f-806d-435e-836e-ce347967699b-mediumThreeByTwo210.jpg,210,140,"Magical, subtle, sensitive and touching, “I Kill Giants” is everything the bombastic “A Wrinkle in Time” is not. Written by Joe Kelly (based on his graphic novel with J.M. Ken Niimura), this intimate story about a troubled 12-year-old who’s on a mission to save her town is virtually tone perfect.That’s not easy in a feature (the first from the Danish director Anders Walter, returning to ideas he explored in his 2013 Oscar-winning short film, “Helium”) that treads a fragile path between adult themes and childlike wonder. Their point of intersection is Barbara (Madison Wolfe), a driven loner who wears bunny ears — a nod to her spirit animal — and believes that giants are threatening her small coastal community. When we meet her, she’s setting ingeniously intricate traps with a jam-like bait containing glitter and gummy bears. Later, she checks the protective amulets she’s scattered around her school, brushing off a bully with sharp-witted confidence. She’s not afraid: she’s the dragon slayer.VideoA preview of the film.Published OnMarch 13, 2018CreditCreditRLJE FilmsThinly plotted but beautifully executed, “I Kill Giants” clings fiercely to Barbara’s fantastical quest, only tentatively allowing those closest to her — a worried school counselor (Zoe Saldana), a curious new girl (Sydney Wade) and Barbara’s exhausted older sister (a fine Imogen Poots) — to shed light on its source. Capturing beach and woodland in wide, scenic sweeps, the director of photography, Rasmus Heise, balances the film’s thick and volatile emotions with a welcome airiness. Outside, stalking monsters, is where Barbara lives and breathes.Pondering grief and denial, lost dreams and irrevocably altered futures, Mr. Walter proves you don’t need a giant-sized special-effects budget to conjure enchantment and danger.“People close to me get hurt,” Barbara tells her sole friend. She’s not wrong."
